,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Georgia
6,Hawaii
7,Illinois
8,Indiana
9,Iowa
10,Kentucky
11,Louisiana
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nevada
19,New Hampshire
20,New Jersey
21,New York
22,North Carolina
23,Ohio
24,Oklahoma
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,Tennessee
29,Utah
30,Vermont
31,Virginia
32,West Virginia
33,Wisconsin
34,Wyoming
